aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 ihailtava, ihailtavan, ihailtavaa, ihailtavana, ihailtavaan, ihailtavien, ihailtavia, ihailtavina, ihailtavissa, ihailtaviin
 ihana, ihanan, ihanaa, ihanana, ihanaan, ihanien, ihania, ihanina, ihanissa, ihaniin
 ihanteellinen, ihanteellisen, ihanteellista, ihanteellisena, ihanteelliseen, ihanteellisten, ihanteellisia, ihanteellisina, ihanteellisissa, ihanteellisiin
 ihastuttava, ihastuttavan, ihastuttavaa, ihastuttavana, ihastuttavaan, ihastuttavien, ihastuttavia, ihastuttavina, ihastuttavissa, ihastuttaviin
 ihme, ihmeen, ihmettä, ihmeenä, ihmeeseen, ihmeiden, ihmeitä, ihmeinä, ihmeissä, ihmeisiin
 ihmeteltävä, ihmeteltävän, ihmeteltävää, ihmeteltävänä, ihmeteltävään, ihmeteltävien, ihmeteltäviä, ihmeteltävinä, ihmeteltävissä, ihmeteltäviin
 ihmismäinen, ihmismäisen, ihmismäistä, ihmismäisenä, ihmismäiseen, ihmismäisten, ihmismäisiä, ihmismäisinä, ihmismäisissä, ihmismäisiin
 iisi, iisin, iisiä, iisinä, iisiin, iisien, iisejä, iiseinä, iiseissä, iiseihin
 ikuinen, ikuisen, ikuista, ikuisena, ikuiseen, ikuisten, ikuisia, ikuisina, ikuisissa, ikuisiin
 ikävystynyt, ikävystyneen, ikävystynyttä, ikävystyneenä, ikävystyneeseen, ikävystyneiden, ikävystyneitä, ikävystyneinä, ikävystyneissä, ikävystyneisiin
 ikävystyttävä, ikävystyttävän, ikävystyttävää, ikävystyttävänä, ikävystyttävään, ikävystyttävien, ikävystyttäviä, ikävystyttävinä, ikävystyttävissä, ikävystyttäviin
 ikävä, ikävän, ikävää, ikävänä, ikävään, ikävien, ikäviä, ikävinä, ikävissä, ikäviin
 iljettävä, iljettävän, iljettävää, iljettävänä, iljettävään, iljettävien, iljettäviä, iljettävinä, iljettävissä, iljettäviin
 ilkeä, ilkeän, ilkeää, ilkeänä, ilkeään, ilkeiden, ilkeitä, ilkeinä, ilkeissä, ilkeisiin
 ilkikurinen, ilkikurisen, ilkikurista, ilkikurisena, ilkikuriseen, ilkikuristen, ilkikurisia, ilkikurisina, ilkikurisissa, ilkikurisiin
 ilmastollinen, ilmastollisen, ilmastollista, ilmastollisena, ilmastolliseen, ilmastollisten, ilmastollisia, ilmastollisina, ilmastollisissa, ilmastollisiin
 ilmava, ilmavan, ilmavaa, ilmavana, ilmavaan, ilmavien, ilmavia, ilmavina, ilmavissa, ilmaviin
 ilmeikäs, ilmeikkään, ilmeikästä, ilmeikkäänä, ilmeikkääseen, ilmeikkäiden, ilmeikkäitä, ilmeikkäinä, ilmeikkäissä, ilmeikkäisiin
 ilmeinen, ilmeisen, ilmeistä, ilmeisenä, ilmeiseen, ilmeisten, ilmeisiä, ilmeisinä, ilmeisissä, ilmeisiin
 ilmeinen, ilmeisen, ilmeistä, ilmeisenä, ilmeiseen, ilmeisten, ilmeisiä, ilmeisinä, ilmeisissä, ilmeisiin
 ilmiömäinen, ilmiömäisen, ilmiömäistä, ilmiömäisenä, ilmiömäiseen, ilmiömäisten, ilmiömäisiä, ilmiömäisinä, ilmiömäisissä, ilmiömäisiin
 iloinen, iloisen, iloista, iloisena, iloiseen, iloisten, iloisia, iloisina, iloisissa, iloisiin
 imelä, imelän, imelää, imelänä, imelään, imelien, imeliä, imelinä, imelissä, imeliin
 implisiittinen, implisiittisen, implisiittistä, implisiittisenä, implisiittiseen, implisiittisten, implisiittisiä, implisiittisinä, implisiittisissä, implisiittisiin
 impulsiivinen, impulsiivisen, impulsiivista, impulsiivisena, impulsiiviseen, impulsiivisten, impulsiivisia, impulsiivisina, impulsiivisissa, impulsiivisiin
 individualistinen, individualistisen, individualistista, individualistisena, individualistiseen, individualististen, individualistisia, individualistisina, individualistisissa, individualistisiin
 inhimillinen, inhimillisen, inhimillistä, inhimillisenä, inhimilliseen, inhimillisten, inhimillisiä, inhimillisinä, inhimillisissä, inhimillisiin
 inhottava, inhottavan, inhottavaa, inhottavana, inhottavaan, inhottavien, inhottavia, inhottavina, inhottavissa, inhottaviin
 innokas, innokkaan, innokasta, innokkaana, innokkaaseen, innokkaiden, innokkaita, innokkaina, innokkaissa, innokkaisiin
 innostunut, innostuneen, innostunutta, innostuneena, innostuneeseen, innostuneiden, innostuneita, innostuneina, innostuneissa, innostuneisiin
 intensiivinen, intensiivisen, intensiivistä, intensiivisenä, intensiiviseen, intensiivisten, intensiivisiä, intensiivisinä, intensiivisissä, intensiivisiin
 intertekstuaalinen, intertekstuaalisen, intertekstuaalista, intertekstuaalisena, intertekstuaaliseen, intertekstuaalisten, intertekstuaalisia, intertekstuaalisina, intertekstuaalisissa, intertekstuaalisiin
 intiimi, intiimin, intiimiä, intiiminä, intiimiin, intiimien, intiimejä, intiimeinä, intiimeissä, intiimeihin
 intuitiivinen, intuitiivisen, intuitiivista, intuitiivisena, intuitiiviseen, intuitiivisten, intuitiivisia, intuitiivisina, intuitiivisissa, intuitiivisiin
 ironinen, ironisen, ironista, ironisena, ironiseen, ironisten, ironisia, ironisina, ironisissa, ironisiin
 irrallinen, irrallisen, irrallista, irrallisena, irralliseen, irrallisten, irrallisia, irrallisina, irrallisissa, irrallisiin
 irrationaalinen, irrationaalisen, irrationaalista, irrationaalisena, irrationaaliseen, irrationaalisten, irrationaalisia, irrationaalisina, irrationaalisissa, irrationaalisiin
 irstas, irstaan, irstasta, irstaana, irstaaseen, irstaiden, irstaita, irstaina, irstaissa, irstaisiin
 irtonainen, irtonaisen, irtonaista, irtonaisena, irtonaiseen, irtonaisten, irtonaisia, irtonaisina, irtonaisissa, irtonaisiin
 irvokas, irvokkaan, irvokasta, irvokkaana, irvokkaaseen, irvokkaiden, irvokkaita, irvokkaina, irvokkaissa, irvokkaisiin
 iskevä, iskevän, iskevää, iskevänä, iskevään, iskevien, iskeviä, iskevinä, iskevissä, iskeviin
 iso, ison, isoa, isona, isoon, isojen, isoja, isoina, isoissa, isoihin
 iso, ison, isoa, isona, isoon, isojen, isoja, isoina, isoissa, isoihin
 isällinen, isällisen, isällistä, isällisenä, isälliseen, isällisten, isällisiä, isällisinä, isällisissä, isällisiin
 itsekäs, itsekkään, itsekästä, itsekkäänä, itsekkääseen, itsekkäiden, itsekkäitä, itsekkäinä, itsekkäissä, itsekkäisiin
 itsenäinen, itsenäisen, itsenäistä, itsenäisenä, itsenäiseen, itsenäisten, itsenäisiä, itsenäisinä, itsenäisissä, itsenäisiin
 itseriittoinen, itseriittoisen, itseriittoista, itseriittoisena, itseriittoiseen, itseriittoisten, itseriittoisia, itseriittoisina, itseriittoisissa, itseriittoisiin
 ivallinen, ivallisen, ivallista, ivallisena, ivalliseen, ivallisten, ivallisia, ivallisina, ivallisissa, ivallisiin
 iäinen, iäisen, iäistä, iäisenä, iäiseen, iäisten, iäisiä, iäisinä, iäisissä, iäisiin
 jaksoittainen, jaksoittaisen, jaksoittaista, jaksoittaisena, jaksoittaiseen, jaksoittaisten, jaksoittaisia, jaksoittaisina, jaksoittaisissa, jaksoittaisiin
 jatkuva, jatkuvan, jatkuvaa, jatkuvana, jatkuvaan, jatkuvien, jatkuvia, jatkuvina, jatkuvissa, jatkuviin
 jouhea, jouhean, jouheaa, jouheana, jouheaan, jouheiden, jouheita, jouheina, jouheissa, jouheisiin
 joustava, joustavan, joustavaa, joustavana, joustavaan, joustavien, joustavia, joustavina, joustavissa, joustaviin
 joutuisa, joutuisan, joutuisaa, joutuisana, joutuisaan, joutuisien, joutuisia, joutuisina, joutuisissa, joutuisiin
 juhlallinen, juhlallisen, juhlallista, juhlallisena, juhlalliseen, juhlallisten, juhlallisia, juhlallisina, juhlallisissa, juhlallisiin
 juhlava, juhlavan, juhlavaa, juhlavana, juhlavaan, juhlavien, juhlavia, juhlavina, juhlavissa, juhlaviin
 julkea, julkean, julkeaa, julkeana, julkeaan, julkeiden, julkeita, julkeina, julkeissa, julkeisiin
 julkinen, julkisen, julkista, julkisena, julkiseen, julkisten, julkisia, julkisina, julkisissa, julkisiin
 julma, julman, julmaa, julmana, julmaan, julmien, julmia, julmina, julmissa, julmiin
 jumalainen, jumalaisen, jumalaista, jumalaisena, jumalaiseen, jumalaisten, jumalaisia, jumalaisina, jumalaisissa, jumalaisiin
 jumalinen, jumalisen, jumalista, jumalisena, jumaliseen, jumalisten, jumalisia, jumalisina, jumalisissa, jumalisiin
 juohea, juohean, juoheaa, juoheana, juoheaan, juoheiden, juoheita, juoheina, juoheissa, juoheisiin
 juoheva, juohevan, juohevaa, juohevana, juohevaan, juohevien, juohevia, juohevina, juohevissa, juoheviin
 juokseva, juoksevan, juoksevaa, juoksevana, juoksevaan, juoksevien, juoksevia, juoksevina, juoksevissa, juokseviin
 juonellinen, juonellisen, juonellista, juonellisena, juonelliseen, juonellisten, juonellisia, juonellisina, juonellisissa, juonellisiin
 juonikas, juonikkaan, juonikasta, juonikkaana, juonikkaaseen, juonikkaiden, juonikkaita, juonikkaina, juonikkaissa, juonikkaisiin
 juridinen, juridisen, juridista, juridisena, juridiseen, juridisten, juridisia, juridisina, juridisissa, juridisiin
 juro, juron, juroa, jurona, juroon, jurojen, juroja, juroina, juroissa, juroihin
 jyhkeä, jyhkeän, jyhkeää, jyhkeänä, jyhkeään, jyhkeiden, jyhkeitä, jyhkeinä, jyhkeissä, jyhkeisiin
 jykevä, jykevän, jykevää, jykevänä, jykevään, jykevien, jykeviä, jykevinä, jykevissä, jykeviin
 jylhä, jylhän, jylhää, jylhänä, jylhään, jylhien, jylhiä, jylhinä, jylhissä, jylhiin
 jähmeä, jähmeän, jähmeää, jähmeänä, jähmeään, jähmeiden, jähmeitä, jähmeinä, jähmeissä, jähmeisiin
 jämerä, jämerän, jämerää, jämeränä, jämerään, jämerien, jämeriä, jämerinä, jämerissä, jämeriin
 jämpti, jämptin, jämptiä, jämptinä, jämptiin, jämptien, jämptejä, jämpteinä, jämpteissä, jämpteihin
 jämtti, jämttin, jämttiä, jämttinä, jämttiin, jämttien, jämttejä, jämtteinä, jämtteissä, jämtteihin
 jännittävä, jännittävän, jännittävää, jännittävänä, jännittävään, jännittävien, jännittäviä, jännittävinä, jännittävissä, jännittäviin
 jännä, jännän, jännää, jännänä, jännään, jännien, jänniä, jänninä, jännissä, jänniin
 jänskä, jänskän, jänskää, jänskänä, jänskään, jänskien, jänskiä, jänskinä, jänskissä, jänskiin
 jäntevä, jäntevän, jäntevää, jäntevänä, jäntevään, jäntevien, jänteviä, jäntevinä, jäntevissä, jänteviin
